,alpha,beta,gamma,w_line,w_edge,sigma,iou,acc
0,0.015,10.0,0.001,-1.0,-1.0,1.0,0.7923046350479126,0.6627118644067796
1,0.015,10.0,0.001,-1.0,-1.0,3.0,0.6398612260818481,0.6627118644067796
2,0.015,10.0,0.001,-1.0,0.0,1.0,0.742464542388916,0.6101694915254238
3,0.015,10.0,0.001,-1.0,0.0,3.0,0.6371311545372009,0.6610169491525424
4,0.015,10.0,0.001,-1.0,1.0,1.0,0.7498846054077148,0.6271186440677966
5,0.015,10.0,0.001,-1.0,1.0,3.0,0.6333641409873962,0.6610169491525424
6,0.015,10.0,0.001,0.5,-1.0,1.0,0.857795000076294,0.6542372881355932
7,0.015,10.0,0.001,0.5,-1.0,3.0,0.8507974147796631,0.6711864406779661
8,0.015,10.0,0.001,0.5,0.0,1.0,0.8431921005249023,0.6610169491525424
9,0.015,10.0,0.001,0.5,0.0,3.0,0.7811715602874756,0.6677966101694915
10,0.015,10.0,0.001,0.5,1.0,1.0,0.8540010452270508,0.6576271186440678
11,0.015,10.0,0.001,0.5,1.0,3.0,0.8401890993118286,0.6627118644067796
12,0.015,10.0,0.001,0.0,-1.0,1.0,0.823252260684967,0.6338983050847458
13,0.015,10.0,0.001,0.0,-1.0,3.0,0.8348851203918457,0.635593220338983
14,0.015,10.0,0.001,0.0,0.0,1.0,0.4681118130683899,0.7067796610169491
15,0.015,10.0,0.001,0.0,0.0,3.0,0.4681118130683899,0.7067796610169491
16,0.015,10.0,0.001,0.0,1.0,1.0,0.8292548656463623,0.6271186440677966
17,0.015,10.0,0.001,0.0,1.0,3.0,0.7876698970794678,0.6237288135593221
18,0.015,10.0,0.01,-1.0,-1.0,1.0,0.8152563571929932,0.6728813559322034
19,0.015,10.0,0.01,-1.0,-1.0,3.0,0.6622166037559509,0.6440677966101694
20,0.015,10.0,0.01,-1.0,0.0,1.0,0.7433909177780151,0.6067796610169491
21,0.015,10.0,0.01,-1.0,0.0,3.0,0.6607257723808289,0.6440677966101694
22,0.015,10.0,0.01,-1.0,1.0,1.0,0.7912637591362,0.6186440677966102
23,0.015,10.0,0.01,-1.0,1.0,3.0,0.658801794052124,0.6423728813559322
24,0.015,10.0,0.01,0.5,-1.0,1.0,0.8409744501113892,0.6322033898305085
25,0.015,10.0,0.01,0.5,-1.0,3.0,0.8554160594940186,0.6711864406779661
26,0.015,10.0,0.01,0.5,0.0,1.0,0.8426320552825928,0.6610169491525424
27,0.015,10.0,0.01,0.5,0.0,3.0,0.8527941703796387,0.6711864406779661
28,0.015,10.0,0.01,0.5,1.0,1.0,0.8346917629241943,0.6338983050847458
29,0.015,10.0,0.01,0.5,1.0,3.0,0.858449399471283,0.6576271186440678
30,0.015,10.0,0.01,0.0,-1.0,1.0,0.8181112408638,0.6322033898305085
31,0.015,10.0,0.01,0.0,-1.0,3.0,0.8225420713424683,0.635593220338983
32,0.015,10.0,0.01,0.0,0.0,1.0,0.8222883939743042,0.6372881355932203
33,0.015,10.0,0.01,0.0,0.0,3.0,0.8222883939743042,0.6372881355932203
34,0.015,10.0,0.01,0.0,1.0,1.0,0.8181954622268677,0.6305084745762712
35,0.015,10.0,0.01,0.0,1.0,3.0,0.8204241394996643,0.6271186440677966
36,0.015,10.0,0.005,-1.0,-1.0,1.0,0.7973625659942627,0.6728813559322034
37,0.015,10.0,0.005,-1.0,-1.0,3.0,0.661027729511261,0.6457627118644068
